trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2143,False,"{'a': 0.002, 'e': 0.013787402031922757}",20,16,6.951424044489108,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2144,False,"{'a': 0.002, 'e': 0.01375985478428895}",25,13,21.2198743662917,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2145,False,"{'a': 0.002, 'e': 0.01373236257609264}",20,12,14.527623320894866,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2146,False,"{'a': 0.002, 'e': 0.013704925297364945}",20,0,27.924728884605955,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2147,False,"{'a': 0.002, 'e': 0.013677542838356711}",35,22,20.908121683759134,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2148,False,"{'a': 0.002, 'e': 0.013650215089538058}",30,0,48.255896859755545,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2149,False,"{'a': 0.002, 'e': 0.013622941941597973}",20,14,10.782006360957828,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2150,False,"{'a': 0.002, 'e': 0.013595723285443818}",35,7,44.95018859377374,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
2151,False,"{'a': 0.002, 'e': 0.013568559012200934}",30,18,18.30326094049896,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2152,False,"{'a': 0.002, 'e': 0.013541449013212178}",30,14,27.566580903993135,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2153,False,"{'a': 0.002, 'e': 0.013514393180037542}",30,0,46.3671790021846,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2154,False,"{'a': 0.002, 'e': 0.013487391404453644}",20,14,11.609045119337539,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2155,False,"{'a': 0.002, 'e': 0.013460443578453348}",25,15,16.44280518121691,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2156,False,"{'a': 0.002, 'e': 0.013433549594245302}",30,16,24.01612757320191,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2157,False,"{'a': 0.002, 'e': 0.013406709344253556}",20,11,16.363921208000246,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2158,False,"{'a': 0.002, 'e': 0.01337992272111706}",30,21,17.50956800193716,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2159,False,"{'a': 0.002, 'e': 0.013353189617689292}",20,12,13.435321661262947,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
